place_id,place,address,lat,lng,place_type,category
124,오스트리아캠핑장,경기 가평군 상면 행현리 909-11,37.7752120980118,127.343927510598,액티비티,"['산', '자연']"
125,민들레다람쥐캠핑장,전북특별자치도 완주군 화산면 종리 55-1,36.0135861746481,127.241102264743,액티비티,"['자연', '힐링']"
126,테디베어하우스 테지움,제주특별자치도 제주시 애월읍 소길리 155-106,33.4122174958603,126.393536428307,관광지,"['문화', '경치']"
127,생각하는 정원,경기 시흥시 정왕동 2063,37.3460104956463,126.685784381351,관광지,"['자연', '경치']"
128,가야랜드,경남 김해시 삼방동 792,35.2581715779598,128.902434797302,관광지,"['경치', '문화']"
129,한터장수오리골,경기 용인시 처인구 양지면 대대리 665-1,37.2577188223936,127.276782281439,음식점,['맛집']
130,용인숲속숯가마,경기 용인시 기흥구 상하동 54-1,37.2497743263769,127.146466913431,찜질방,"['힐링', '자연']"
131,숲에안기다캠핑장,경북 고령군 덕곡면 옥계리 227-2,35.7718950468586,128.177782058222,액티비티,"['자연', '액티비티']"
132,부산온천포장센터,부산 동래구 온천동 212-22,35.219308349546,129.081870956962,음식점,['맛집']
133,성산갈치맛집,제주특별자치도 서귀포시 성산읍 오조리 337,33.468456743664,126.917455034402,음식점,['맛집']
134,덕산 스플라스 리솜,충남 예산군 덕산면 사동리 362,36.693972757052,126.656394481322,액티비티,"['액티비티', '휴양']"
135,가야지캠핑장,강원특별자치도 평창군 용평면 재산리 983-8,37.5631241959782,128.445607009632,액티비티,"['자연', '힐링']"
136,중랑역포차거리,서울 중랑구 중화동 73-7,37.5948240960274,127.075728956656,음식점,['맛집']
137,오아시스정글캠핑장,강원특별자치도 인제군 인제읍 귀둔리 1060,38.0762030738691,128.369073019368,액티비티,"['자연', '액티비티']"
138,장흥참숯가마,경기 양주시 장흥면 석현리 343,37.7448301205851,126.959770775476,찜질방,"['힐링', '액티비티']"
139,다문188캠핑장,경기 양평군 용문면 다문리 188-27,37.4708969884515,127.60022297244,액티비티,"['자연', '힐링']"
140,송도암남공원조개구이,부산 서구 암남동 620-24,35.0625411870641,129.021552802797,음식점,['맛집']
141,제천워터파크캠핑랜드,충북 제천시 봉양읍 명도리 247-1,37.1601613258417,128.140048303599,액티비티,"['휴양', '오락']"
142,주문진대게,강원특별자치도 강릉시 주문진읍 교항리 184-126,37.8895226979372,128.828690805792,음식점,['맛집']
143,새광주참숯가마,경기 광주시 쌍령동 141,37.4025293029563,127.267849544356,찜질방,"['힐링', '오락']"
144,소노펠리체델피노,강원특별자치도 고성군 토성면 원암리 474-1,38.2104682350417,128.490831208679,스파,"['휴양', '자연']"
145,용신어촌체험마을,충남 태안군 근흥면 용신리 915-13,36.703223877079,126.237799881216,액티비티,"['바다', '자연']"
