place_id,address,lat,lng,place,place_type,category,region_id,popularity
5472,제주특별자치도 제주시 해안동 2363-1,33.4646052770958,126.449301209336,두갓,카페,['카페'],1,0.9936841668092806
5473,울산 중구 남외동 428-10,35.5694686605562,129.341354011719,곽남길,음식점,['맛집'],3,0.7516252720225621
5474,부산 기장군 기장읍 동부리 162-3,35.2442892496798,129.215893644838,기장 명품대게,음식점,['맛집'],3,0.6360091337607571
5475,울산 중구 태화동 432-14,35.5506727655294,129.293690360134,RollingCoffee,카페,['카페'],3,0.7078144092002132
5476,대구 수성구 범어동 595-30,35.854848401701,128.624829244572,폴인샤브범어점,음식점,['맛집'],3,0.8225298787243841
5477,부산 기장군 장안읍 장안리 388-1,35.3684931267029,129.246688829423,만수장가든,음식점,['맛집'],3,0.7733500929047894
5478,부산 수영구 광안동 99-2,35.1637314949129,129.115167738874,쇼쿠지수영점,음식점,['맛집'],3,0.5865754741836433
5479,울산 울주군 언양읍 서부리 232-2,35.5685449807195,129.110204988672,언양불고기한마당한우촌,음식점,['맛집'],3,0.6797306442680323
5480,부산 해운대구 좌동 1461-4,35.1716106741271,129.174851671094,스시일번가순,음식점,['맛집'],3,0.6771891760784337
5481,울산 울주군 범서읍 구영리 813-1,35.5698027928597,129.240068281962,양포항구영점,음식점,['맛집'],3,0.8705136295861586
5482,울산 남구 옥동 585-4,35.5361822174807,129.289123568982,디어모먼츠울산,음식점,['맛집'],3,0.8185551086041205
5483,울산 남구 달동 578-1,35.5397303266152,129.326402654162,우킴,음식점,['맛집'],3,0.9771298973041009
5484,울산 남구 달동 1277-5,35.5351158171226,129.332114726423,청춘돼지 본점,음식점,['맛집'],3,0.6447367049937054
5485,울산 남구 달동 1275-19,35.535037248276,129.331928247052,우시야,음식점,['맛집'],3,0.6654842815288708
5486,울산 남구 삼산동 1550-4,35.5430544437158,129.338911618192,빠이타이,음식점,['맛집'],3,0.7560094277198526
5487,제주특별자치도 제주시 아라일동 6103-4,33.4765554077966,126.54542977116,제주 그릭요거트 전문점,카페,['카페'],1,0.992508894181507
5488,제주특별자치도 서귀포시 남원읍 수망리 775,33.332741842631,126.705974743928,제주 머들정원,관광지,"['경치', '자연']",1,0.7012170877323383
5489,울산 남구 삼산동 1479-5,35.5389435517355,129.337132415227,울산 삼산 그레이핍플,카페,['카페'],3,0.9937812863038102
5490,울산 중구 태화동 910-10,35.553792622086,129.282056578468,울산 따시리,음식점,['맛집'],3,0.7516714450799052
5491,울산 울주군 서생면 나사리 317-27,35.3567134284714,129.335983749361,울산 구세리1990 서생점,음식점,['맛집'],3,0.9006940201088924
